"(株)夢真ホールディングス【文系】採用窓口【東証JASDAQ上場】 ","3,050名（2016年4月現在）","301名〜","jinzai@yumeshin.co.jp","03-3210-1217","【応募受付】【お問い合わせ】 (株)夢真ホールディングス　人材開発部 〒100-0005　東京都千代田区丸の内1-4-1　丸の内永楽ビルディング22F TEL : 03-3210-1217 e-mail : jinzai@yumeshin.co.jp  "
"(株)コプロ・エンジニアード【プロジェクトマネージャー職】 ","1,200名（2016年3月現在／正社員・派遣社員含む）","31〜35名","copro@e-saiyo.com","052-589-2939","(株)コプロ・エンジニアード住所：〒450-6427愛知県名古屋市中村区名駅三丁目28-12大名古屋ビルヂング27階Tel:052-589-2939"
"RIZAP(株) ","1000名　※2016年10月時点","26〜30名","recruit@it-group.jp","03-5962-0041","RIZAP(株) 東京都新宿区北新宿2-21-1　新宿フロントタワー31F（本社） TEL:03-5962-0041／新卒採用　担当"
"(株)エイジェック【エンジニア事業部】 ","14,300名(グループ全体)／11,200名(単体) ※2016年7月末現在","101〜200名","eng-shinsotsu@agekke.co.jp","022-721-5455","◆全国共通人材雇用センター（2017採用は下記、仙台をセンターとして活動させて頂きますが、選考会や面接は各地にて開催していきます）◆住所〒980-6117宮城県仙台市青葉区中央1-3-1　AER（アエル）ビル17F株式会社エイジェック　エンジニアリング事業本部　仙台オフィス【新卒エンジニアリング採用部担当】TEL：022-721-5455　※ご連絡の際は「2017新卒のエンジニア応募です」と必ずお伝え下さい。"
"(株)エイジェック【建設総合事業本部】 ","14,300名(連結)／11,200名(単体)　※2016年11月現在","201〜300名","const_saiyou@agekke.co.jp","0120-050-509","☆首都圏エリア採用担当TEL：0120-050-509☆札幌（北海道）エリア採用担当TEL：0120-987-940☆東北エリア採用担当TEL：0120-987-920☆中部エリア採用担当TEL：0120-963-952☆北陸エリア採用担当TEL：0120-501-845☆関西エリア採用担当TEL：0120-663-371☆中国・四国エリア採用担当TEL：0120-987-933☆福岡エリア採用担当TEL：0120-987-935"
"(株)エクストリンク ","300名 ","26〜30名","shinsotsu@extlink.co.jp","06-7175-7130","〒 530-0057大阪市北区曽根崎2-3-5　梅新第一生命ビルディング16階TEL:06-7175-7130新卒採用担当：篠田（シノダ）・檜垣（ヒガキ）"
"(株)シンカーミクセル【ITコンサル職】 ","約230名（2015年2月現在）","51〜100名","xgate@xon.jp","03-6440-08209001800","〒107-6243東京都港区赤坂9-7-1ミッドタウン・タワー43F採用担当（人材開発室）Tel：03-6440-0820（平日 9:00〜18:00）"
"理化電子(株) ","104名　2016年10月現在　","1〜5名","corporate_planning_office@rikadenshi.com",NO DATA,"理化電子(株)　採用担当者宛て"
"(株)アストロン ","27名","1〜5名","saiyo@astron.co.jp",NO DATA,"〒160-0023東京都新宿区西新宿4-32-12　西新宿フォレスト ロビー階3号"
"ウエノグループ ","75名(グループ全体)","6〜10名","recruit@bounan-ko.com","0800-600-6311","〒294-0232千葉県館山市竜岡612TEL:0800-600-6311(採用担当直通ダイヤル)"
"(株)テンフードサービス【ぎょうざの「みよしの」・そば処「信州庵」】 ","社員70名 アルバイト・パート566名 （2016年5月現在）","6〜10名","desk@tenfood.co.jp","011-784-9292","〒065-0042札幌市東区本町2条10丁目2-1(株)テンフードサービスTEL：011-784-9292（代）"
"(株)コプロ・エンジニアード【COPRO-ENGINEERD.Co.Ltd.】 ","1,200名（2016年3月現在／正社員・派遣社員含む）","26〜30名","copro@e-saiyo.com","052-589-2939","株式会社コプロ・エンジニアード住所：〒450-6427愛知県名古屋市中村区名駅三丁目28-12大名古屋ビルヂング27階TEL：052-589-2939(採用窓口）"
"(株)マミーズエンジェル ","200名","51〜100名","saiyo@mammys-angel.co.jp","03-5766-8281","〒150-0002東京都渋谷区渋谷1-14-14　植村会館ビル4FTEL：03-5766-8281採用担当：海内（カイナイ）"
"ファーストコーポレーション(株)【東証マザーズ上場】 ","119名（2016年4月）","21〜25名","saiyou@1st-corp.com","03-5347-0519","〒167-0032東京都杉並区天沼2-3-9 朝日生命杉並ビルファーストコーポレーション(株) 採用担当　採用・人材開発部　星川TEL03-5347-0519（直通）"
"(株)駒形どぜう ","210名　アルバイト含む","6〜10名",NO DATA,"03-3842-4015","採用窓口TEL：03-3842-4015"
"社会福祉法人 賛育会 ","全職員２２１０名（非常勤も含む） 男性５６１名、女性１６４９名 2016年4月1日現在","31〜35名","houjin-jinji@san-ikukai.or.jp","03-3622-7614","〒130-0012 東京都墨田区太平3-17-8 法人事務局人事部人事課　採用担当 TEL 03-3622-7614 "
"中日本フード(株)（ニッポンハムグループ） ","660名(男性545名・女性115名)　※2016年8月時点","26〜30名","middle@nfgroup.co.jp",NO DATA,"中日本フード(株)　管理本部　人事部／石川暁〒530-0001　大阪市北区梅田二丁目4番9号 ブリーゼタワー25Fa.ishikawa.nf@nipponham.co.jp【日本フードグループ採用センター】◆フリーダイヤル：0120-314-437※説明会や選考についてのご質問など、気軽にご連絡ください。"
"(株)太平 ","560名 ","11〜15名","jinji@taihei-g.co.jp ","0480-32-9388","埼玉県北葛飾郡杉戸町杉戸2-7-3(株)太　平人事部　人事課　　担当：田村　修TEL:0480-32-9388"
"インフォニック(株) ","100名（2014年4月1日現在）","11〜15名","saiyo@infonic.co.jp","075-213-5818","〒604-8152京都府京都市中京区烏丸通錦小路上る手洗水町659　烏丸中央ビル6FTEL:075-213-5818（代表） 採用担当"
"UDトラックス道東(株) ","147名（2015年9月現在）","6〜10名","ud-doto@polka.ocn.ne.jp","0155-37-2276","080-2461 北海道帯広市西21条北1丁目3-12 TEL：0155-37-2276FAX：0155-37-2619 総務本部　採用担当／中惠（ナカエ）"
"(株)コメリ ",NO DATA,"201〜300名","jinji@komeri.bit.or.jp",NO DATA,"本社　人事部採用グループ〒950-1492新潟県新潟市南区清水4501-1"
"(株)ビーコム ","713名","21〜25名","recruit@beecomgroup.jp",NO DATA,"〒231-0047　神奈川県横浜市中区羽衣町1-1-1人事採用担当宛フリーダイヤル:0120-865-863"
"(株)陣内工業所 ","79名（男性67名、女性12名　※2016年5月現在） ","1〜5名","kinoshita@jinnai-inc.co.jp","0565-36-66118001700","〒471−0852 住所：愛知県豊田市御幸町6−28 部署：経営企画部　木下TEL:0565-36-6611（平日 8:00〜17:00 ）"
"社会福祉法人　新生寿会 ","約720名(2015年4月現在)","41〜45名","arisunomori-kinoko@sunny.ocn.ne.jp（ありすの杜きのこ南麻布）","03-5739-0585","■東京事業本部 ありすの杜きのこ南麻布〒106-0047　東京都港区南麻布4-6-1　南棟　　ありすの杜きのこ南麻布　TEL:03-5739-0585採用事務担当：中川・原田■岡山事業　きのこ老人保健施設〒714-0071　岡山県笠岡市東大戸2912-3　　　きのこ老人保健施設TEL：0865-63-0700採用担当：宮本"
"(株)神奈川機関紙印刷所 ","37名（2015年5月現在） ","若干名","sato@kki.co.jp","045-785-1700","株式会社 神奈川機関紙印刷所〒236-0004神奈川県横浜市金沢区福浦2-1-12採用担当宛てTEL 045-785-1700"
"(株)エヌ・テック・システムズ ","26名（2015年12月1日現在）","6〜10名","saiyo@ntecsystems.co.jp","098-855-9005","〒900-0021 沖縄県那覇市泉崎2-3-2 明治泉崎ビル4F 総務部　採用担当 TEL:098-855-9005（代表）FAX:098-833-3491 "
"(株)ニチイ学館　保育事業本部 ","社員15,961名（2016年3月末現在） 業務社員76,456名（2016年3月期　年間の平均人員）","51〜100名","hoiku-saiyou@nichiigakkan.co.jp","03-3291-5662","(株)ニチイ学館　保育事業本部　採用担当〒101-8688　東京都千代田区神田駿河台2-9TEL：03-3291-5662（直通）【受付時間】9:00〜17:00（月〜金）※祝日／年末年始を除く"
"(株)夢テクノロジー ","1237名（2016年9月30日現在）","51〜100名","▼お問い合わせはE-mailでも受け付けています。 shinsotsu@ml.yume-tec.co.jp",NO DATA,"(株)夢テクノロジー 東京都品川区大崎1-6-4　新大崎勧業ビル4Fフリーダイヤル：0120-008-290"
"日本テクノストラクチャア(株) ","250名","21〜25名","jinji2017@nihon-tesco.co.jp","042-366-5951","日本テクノストラクチャア(株)東京都府中市府中町1丁目10番3号 府中南ビル2F採用担当／総務部　本宮 信幸TEL:042-366-5951（代）"
"(株)日本水泳振興会 ","正社員152名、グループ全体社員数168名（いずれも役員除く）(2014年7月)","6〜10名","info@tokyo-nsp.co.jp","03-3369-3239","〒164-0003住所　東京都中野区東中野3-18-12部署　採用担当宛TEL:03-3369-3239"
"(有)新共薬局 ","31人","若干名",NO DATA,"046-822-1239","有限会社　新共薬局　〒238-0007　神奈川県横須賀市若松町1-1TEL:046-822-1239採用担当　矢野"
"(株)エス・エス商会【シーボーイ】 ","12名（2016年2月現在）","11〜15名","tsukamoto@c-boy.co.jp","0749-21-1177","〒522-0009　滋賀県彦根市外町111-1(株)エス・エス商会　採用担当／塚本までTEL:0749-21-1177"
"(株)サンベルクス(スーパーベルクス)【採用元：(株)サンベルクスホールディングス】  ","正社員696名 準社員2,667名 ※2015年12月20日現在","51〜100名","jinji@sunbelx-r.com","03-6706-4222","〒121-0061東京都足立区花畑4-11-14採用担当TEL：03-6706-4222"
"(株)テクノジャパン ","260名（2015年4月時点）","26〜30名","jinzai@techno-japan.co.jp","0120-006-88403-6630-7888","〒105-6106東京都港区浜松町2-4-1 世界貿易センタービル6階TEL:0120-006-884（フリーダイヤル）/03-6630-7888"
"(株)日本生科学研究所（日生薬局） ","1,503名（うち、薬剤師156名）（2016年9月1日）","36〜40名","jinji@jlsri.co.jp","0120-95-4641","(株)日本生科学研究所●所在地：【本社】東京都新宿区河田町 3-10●医薬事業本部：林（薬剤師）、石渡、人見（管理栄養士・医療事務）Tel　0120-95-4641（フリーコール）　　 03-3341-2061●介護事業本部（介護職）：採用担当Tel　03-3341-7141●保育事業本部（保育士）：高橋Tel　03-3341-8021●管理本部：増川（採用全般、総合職）Tel　03-3341-2421"
"(株)元林 ","150名（正社員120名、アルバイト30名）","若干名","motojinji@motobayashi.co.jp","06-6536-178606-6536-1091","〒550-0014大阪市西区北堀江1-18-17 人事課　岡村　嘉彦TEL：06-6536-1786(代)　FAX：06-6536-1091"
"医療法人社団元気会　横浜病院 ","293名（常勤220名、非常勤73名）","11〜15名","genkikai@genkikaiyokohama.jp","045-933-1011","〒226-0013神奈川県横浜市緑区寺山町729TEL:045-933-1011（代表） 担当 村山FAX:045-931-0862"
"クルーガーグループ(株) ","310名 ","21〜25名","ytsuji@cruager.co.jp",NO DATA,"〒150-8512　東京都渋谷区桜丘町26-1　セルリアンタワー4F採用担当　辻【採用専用ダイヤル】0120-799-077"
"(株)コンフィアック ","8名(2016年4月)","1〜5名","info@confiacc.co.jp","03-6435-9207","〒105-0013東京都港区浜松町 1-18-11 イマスオフィス浜松町 4階人事部　田邉　TEL：　03-6435-9207"
"(株)あとらす二十一【総合職コース】  ","1,040名","51〜100名","jinji@at21.jp","03-6832-2121","〒163-0428 東京都新宿区西新宿2−1−1　新宿三井ビル28階株式会社あとらす二十一担当/人事部 採用担当TEL 03-6832-2121（代表）"
"(株)INE ","81名","26〜30名","takaaki_okamoto@ine-grp.co.jp","03-5957-7293","〒171-0014東京都豊島区池袋2-14-2池袋二丁目ビルディング3F 採用担当：岡本　崇章TEL：03-5957-7293"
"アビドレックス(株) ","135名（男性106名・女性29名）2015年度","1〜5名","yoshinori-ishikawa@avidrex.com","03-3423-9900","〒106-0032東京都港区六本木6-8-21  眞興ビル2Fアビドレックス(株)　採用担当　武市・石川TEL：03-3423-9900 "
"(株)熊本清掃社【バイオプラザ】 ","97名（2016年3月）","若干名","info@kumasei.com","096-325-5353096-322-1140","【本社】 【バイオプラザおきしん】 〒860-0048熊本市西区池上町1000番地5採用担当：井上TEL:096-325-5353　FAX:096-322-1140【バイオプラザなごや】 〒455-0028愛知県名古屋市港区潮見町37番地10採用担当：村平・松井TEL:052-614-0539E-mail：bpn@kumasei.com"
"ジェイフィルム(株)【三菱樹脂グループ】 ","508名(2016年3月31日現在)","1〜5名",NO DATA,"03-3862-8511","〒101-0031東京都千代田区東神田2-5-15　住友生命東神田ビルジェイフィルム株式会社総務部　採用担当TEL:03-3862-8511FAX:03-3862-9287"
"JFE瀬戸内物流(株) ","497名（2016年10月1日時点）","1〜5名",NO DATA,"086-447-3176","〒712-8074岡山県倉敷市水島川崎通1丁目JFE瀬戸内物流(株)総務部人事労働室採用担当：鈴木、片山TEL 086-447-3176"
"(株)エコ配 ","443名(2016年12月現在、アルバイト・パート124名含む)","26〜30名","t-jinji@ecohai.co.jp","03-3539-3881","(株)エコ配　人事総務部東京採用担当：中村（なかむら)・小川（おがわ）TEL：03-3539-3881FAX：03-3539-3882MAIL：t-jinji@ecohai.co.jp大阪・名古屋採用担当：椎山（しいやま）TEL：050-3116-2255FAX：06-6879-2296MAIL：t-jinji@ecohai.co.jp"
"(株)立岩（がちゃぽんグループ） ","600名","16〜20名","gachapon@r-navi.net","0532-34-3671","■採用関係連絡先　　本社住所　〒441-8032　愛知県豊橋市花中町56番地　　人事課　　採用専用ダイヤル:0120-375-535（平日9:00〜17:00）　　※上記日時以外は下記へご連絡ください。　　TEL:0532-34-3671（人事）"
"(株)叙々苑 ","2,550名（社員864名、アルバイト1,686名）2016年4月時点","51〜100名","jinjibu@jojoen.co.jp",NO DATA,"株式会社叙々苑・人事部　採用担当"
"(株)山元 ","437名（2015年10月）","11〜15名",NO DATA,"03-3241-5050","〒103-0021　　東京都中央区日本橋本石町1-1-4　山元ビル3F(株)山元 人事部 採用担当 TEL：03-3241-5050(直)"
"社会福祉法人　博寿会 ","140名（2015年1月現在）","1〜5名","saiyou@asukanonosato.com","04-2990-2580","社会福祉法人　博寿会　飛鳥野の森住所：埼玉県所沢市神米金505番地TEL：04-2990-2580施設長：生澤(いけざわ)"
"(株)ドリームクリエイト ","26名（2012年11月現在）","6〜10名","saiyo@dorikuri.co.jp","0120-987-306","〒171-0042東京都豊島区高松1-11-15　西池袋MTビル5F(株)ドリームクリエイト　採用担当TEL：0120-987-306 "
"インテリジェントコア(株) ","25名（男性：22名　女性：3名）","若干名","ick_recruit@intelligent-core.co.jp","045-641-1341","インテリジェントコア(株)新卒採用担当神奈川県横浜市中区山下町224-1　山下町Kビル4FTEL:045-641-1341"
"(株)三経ビルディング【三経グループ】 ","25名","6〜10名","jinji@sankeibuilding.co.jp","03-6230-2159","〒107-0052東京都港区赤坂2-13-12　赤坂AYビル3階(株)三経ビルディング　人事採用担当TEL：03-6230-2159"
"アセットリードグループ ","【(株)アセットリード】70名 【(株)アセットナビ】19名 【(株)アセット建設】8名","26〜30名","【アセットリードグループ】assetleadgroup@saiyo-p.com","03-5730-3741","(株)アセットリード本社／東京都新宿区西新宿1-26-2　新宿野村ビル9FTEL／03-5730-3741"
"(株)城南医薬保健協働 ","92名 ","1〜5名","susa@jyounaniyaku.co.jp","03-3298-2421","〒143-0012東京都大田区大森東4-18-3(株)城南医薬保健協働　本部　薬学生担当　諏佐（すさ）TEL:03-3298-2421"
"(株)セコニックホールディングス ","グループ連結495名（2016年4月1日現在）","26〜30名","saiyo@sekonic.co.jp","03-5433-3611","【問い合わせ先の住所・電話番号・担当】住所：〒154-0001　東京都世田谷区池尻3-1-3部署：管理本部TEL：03-5433-3611"
"(株)サンユ情報システム ","180名（2015年4月現在）","11〜15名",NO DATA,"03-3847-750503-3847-7523","〒111-0042東京都台東区寿1-11-6　SMKビルTEL:03-3847-7505　FAX:03-3847-7523"
"トーシングループ【(株)トーシン（JASDAQスタンダード上場）・トーシンリゾート(株)】 ",NO DATA,"51〜100名",NO DATA,"052-262-1122","【本社所在地】〒460-0008名古屋市中区栄3-4-21　TOSHIN SAKAEビル総務部人事課TEL：052-262-1122(代) FAX：052-262-1010(代)"
"(株)鮮ど市場 ","700名（正社員312名、パート388名）（2016年8月）","6〜10名","saiyo@sendo.jp","096-368-8178","〒862-0913熊本市尾ノ上2-25-11管理本部 人事課TEL：096-368-8178"
"(株)四季リゾーツ ","84名（2015年3月現在）","26〜30名","saiyo-shiki@shikiresorts.com","045-476-5977","〒222-0033神奈川県横浜市港北区新横浜3-6-5新横浜第一生命ビルディング4階株式会社四季リゾーツ　採用担当　細野TEL：045-476-5977"
"(株)ティアラ ","180名（2015年4月現在）","6〜10名",NO DATA,"0566636360","〒448-0858　愛知県刈谷市末広町1-15-10　アートオン1−A TEL／0566−63−6360　 "
"(株)ワールドコーポレーション　(World Corporation Co.Ltd.) ","850名（2016年11月現在）","201〜300名","saiyou@w-corp.jp","0120-983-47703-6268-9199","〒102-0083　東京都千代田区麹町4-8　麹町クリスタルシティ東館11館TEL/0120-983-477　FAX/03-6268-9199 新卒採用担当　神藤宛(かんどう)"
"(株)レオパレス21 ","7,846名（2016年3月31日現在）","201〜300名","jinji@leopalace21.com","03-5350-00169001800","■人事部 採用課（本社）　〒164-8622 東京都中野区本町2-54-11 　TEL：03-5350-0016（平日/9：00〜18：00）　FAX：03-5350-0057 ■人事部 採用課（大阪支店）　TEL：06-6374-7815（平日/9：00〜18：00）　FAX：06-6374-7588※障がい者の方も同じ番号にお問合せください。"
"石田建設(株) ","30名（2016年4月）","若干名","koumu@ishida-kensetsu.co.jp","045-811-4721","〒245-0003神奈川県横浜市泉区岡津町1573番地石田建設(株) 採用担当TEL:045-811-4721"
"(株)エム・エー・ティー ","20名","1〜5名","saiyo@move-trust.com ","06-6443-8655","〒550-0002大阪市西区江戸堀1丁目23番13号 肥後橋ビル3号館7F(株)エム・エー・ティー　採用担当Tel:06-6443-8655"
"エース(株) ","888名　(2015年12月)","16〜20名",NO DATA,"03-5843-0609","東京本社　人事総務部　田中・上田TEL：03-5843-0609"
"アクレスコ(株)【協和エクシオグループ】 ","156名（平成28年2月1日現在）","1〜5名","〈メール〉recruit@accresco.co.jp",NO DATA,"アクレスコ（株）新卒採用担当〈住所〉東京都大田区平和島4−１−２３　ＥＸＥＯ東京総合エンジニアリングセンタ　３Ｆ〈ＴＥＬ〉03-5763-2628〈メール〉recruit@accresco.co.jp"
"(株)トレジャー・ファクトリー【東証一部上場】 ","正社員524名（平成28年5月末現在）　パートタイマー等は含まれていません。","46〜50名","shinsotsu@treasure-f.com ",NO DATA,"〒101-0022 東京都千代田区神田練塀町３　大東ビル2階部署　人材開発部　新卒採用担当担当　杉之原、中西※お問い合わせは下記Eメールアドレスへご連絡下さい。"
"(株)ユニバーサルコンピュータサービス ","31（男性18・女性13）名 （2015年6月現在）","若干名","recruit@univa.co.jp",NO DATA,"〒101-0032東京都千代田区岩本町2-1-18 フォロ・エムビル7F(株)ユニバーサルコンピュータサービス総務部採用担当／今泉"
